Sr. No.,Police Station,Year,Head,Date,Place_of_offence,Key_location,Week_no.,Geo_Location,Crowd_Density,Crime_Location_Type
635,Mapusa_Ps,2024,Theft (Chain Snatching),22-09-2024,"At Near Baba Garage Kahalpwado, Verla, Canca, Bardez Goa",Canca Verla,4,"(15.6008, 73.8185)",Low,Restaurant
636,Mapusa_Ps,2024,Theft (HBT Day),21-08-2024,"At Premises of “Blue Diamond Bar and Restaurant, H. No. 113/13, Taliwado, Mapusa Bardez Goa",Mapusa(MMC),3,"(15.5912, 73.8108)",Medium,InHouse
637,Mapusa_Ps,2024,Theft (HBT Day),06-10-2024,"At H. No. 481/3-C, Gayatri Niwas Abbaiswaddo, Canca, Bardez Goa",Canca Verla,1,"(15.6015, 73.8192)",Low,ResidentialArea
638,Mapusa_Ps,2024,Theft (HBT Night),29-02-2024,"At Saliswado, Parra Bardez Goa",Parra,5,"(15.6028, 73.8175)",Low,NearCollege
639,Mapusa_Ps,2024,Theft (HBT Night),08-06-2024,"At Dr. Sawkar, Ganeshpuri, Mapusa Bardez Goa",Mapusa(MMC),2,"(15.5900, 73.8122)",Medium,ParkingLot
640,Mapusa_Ps,2024,Theft (HBT Night),23-06-2024,"At Store Room, Grand Morod, Mapusa, Bardez Goa",Mapusa(MMC),4,"(15.5933, 73.8105)",Low,ResidentialArea
641,Mapusa_Ps,2024,Theft (HBT Night),22-08-2024,"At Dempo Mansion, Mapusa Bardez Goa",Mapusa(MMC),4,"(15.5918, 73.8114)",Medium,ParkingLot
642,Mapusa_Ps,2024,Theft (HBT Night),17-09-2024,"At Store Room Located at Basement Floor of Vision Hospital, Dhuler, Mapusa, Goa",Mapusa(MMC),3,"(15.5945, 73.8106)",Medium,InHouse
643,Mapusa_Ps,2024,Theft (HBT Night),19-09-2024,"At Villa No. 2, La-Masseria Gaunsawado, Sodiem, Siolim, Bardez Goa",Siolim,3,"(15.6182, 73.7800)",Low,Business/Store
644,Mapusa_Ps,2024,Theft (HBT Night),22-09-2024,"At Shop Styled as Nasnodkar Jeweller, Shop No.27, Municipal Market, Mapusa Bardez Goa",Mapusa(MMC),4,"(15.5917, 73.8111)",High,Business/Store
645,Mapusa_Ps,2024,Assault (Hurt),08-01-2024,"At Infront of Dangui Matching Centre, Municipal Market, Mapusa Bardez",Mapusa(MMC),2,"(15.5920, 73.8113)",High,NearCollege
646,Mapusa_Ps,2024,Assault (Hurt),10-01-2024,"At Premises of Govt. Primary NearCollege, Namoshi, Guirim, Bardez Goa",Guirim,2,"(15.6062, 73.8128)",Medium,ReligiousPlace
647,Mapusa_Ps,2024,Assault (Hurt),27-01-2024,"At Near Ajoba Temple, Xell, Sodiem, Siolim, Bardez Goa",Siolim,4,"(15.6190, 73.7815)",Low,ReligiousPlace
648,Mapusa_Ps,2024,Assault (Hurt),15-02-2024,"At In Front of Maruti Temple, Goljuvem, Khorjuvem, Aldona Bardez Goa",Aldona,3,"(15.6118, 73.8480)",Low,InHouse
649,Mapusa_Ps,2024,Assault (Hurt),20-02-2024,"At H. No. 388, Chadanwadi, Bastora, Bardez Goa",Bastora,3,"(15.6055, 73.8255)",Low,ResidentialArea
650,Mapusa_Ps,2024,Assault (Hurt),21-02-2024,"At Camarkhajan, Mapusa Bardez Goa",Mapusa(MMC),3,"(15.5923, 73.8108)",Medium,ReligiousPlace
651,Mapusa_Ps,2024,Assault (Hurt),08-03-2024,"At Near Chapel, Kumarwado, Shelpem, Dhuler, Bardez Goa",Mapusa(MMC),2,"(15.5908, 73.8120)",Medium,Business/Store
652,Mapusa_Ps,2024,Assault (Hurt),25-03-2024,"At Shop Styled as “Khan General Store” Located at Cottarbhat, Aldona Bardez Goa",Aldona,4,"(15.6122, 73.8462)",Low,ResidentialArea
653,Mapusa_Ps,2024,Assault (Hurt),27-03-2024,"At Sorveywado, Guirim Bardez Goa",Guirim,4,"(15.6085, 73.8125)",Low,NearCollege
654,Mapusa_Ps,2024,Assault (Hurt),11-04-2024,"At In Front of Kalangutkar Nursing Home, Mapusa Bardez Goa",Mapusa(MMC),2,"(15.5942, 73.8109)",Medium,NearCollege
655,Mapusa_Ps,2024,Assault (Hurt),15-05-2024,"At Near Galaxy Hospital, Xelpem, Dhuler, Bardez Goa",Mapusa(MMC),3,"(15.5950, 73.8115)",Medium,NearCollege
656,Mapusa_Ps,2024,Drug Related (NDPS),07-08-2024,"At Sokolwado, Ucassaim, Bardez Goa",Ucassaim,2,"(15.6215, 73.8545)",Low,ResidentialArea
657,Mapusa_Ps,2024,Drug Related (NDPS),16-08-2024,"At Parking Lot Near Entrance Gate of Xavier’s College, Mapusa, Bardez, Goa",Mapusa(MMC),3,"(15.5929, 73.8112)",Medium,ParkingLot
658,Mapusa_Ps,2024,Drug Related (NDPS),21-08-2024,"At Rear Side of New KTC Bus Stand, Mapusa Bardez Goa",Mapusa(MMC),3,"(15.5908, 73.8103)",High,localArea
659,Colvale_PS,2021,Theft (Robbery),21-07-2021,"Tuwar Wadda, Chicalim Bardez Goa",Chicalim Bardez,3,"(15.3901, 73.8478)",Medium,ResidentialArea
660,Colvale_PS,2021,Theft (Robbery),05-08-2021,"Near Major Bakery, Thivim",Thivim,1,"(15.6321, 73.8305)",Medium,Business/Store
661,Colvale_PS,2021,Theft (HBT Night),27-06-2021,"TNK, H. No. 250/7 Bella Vista Wado Sirsaim Thivim Bardez Goa",Thivim,4,"(15.6345, 73.8298)",Low,InHouse
662,Colvale_PS,2021,Theft (HBT Night),11-09-2021,"Roshan Industries, Karaswada Mapusa","Karaswada ,Mapusa",2,"(15.5912, 73.8115)",Medium,IndustrialArea
663,Colvale_PS,2021,Theft (Auto Theft),10-07-2021,"Near Om Sai Hotel, Service Road, Colvale Bardez Goa",Colvale,2,"(15.6535, 73.8542)",Medium,Restaurant
664,Colvale_PS,2021,Theft (House Theft),25-10-2021,"H.No. 307/9, Mushirwado, Colvale Bardez Goa",Colvale,4,"(15.6525, 73.8538)",Medium,InHouse
665,Colvale_PS,2021,Theft (other  Theft ),26-06-2021,Colvale Four Road Junction,Colvale,4,"(15.6540, 73.8550)",High,OnRoad
666,Colvale_PS,2021,Theft (other  Theft ),28-06-2021,"Plot No. 16, Industrial Estate, Colvale Bardez Goa",Colvale,5,"(15.6555, 73.8562)",Medium,IndustrialArea
667,Colvale_PS,2021,Theft (other  Theft ),12-07-2021,"Near Ferry Point, Camurlim Bardez Goa",Camurlim,2,"(15.6545, 73.8625)",Medium,Beachside
668,Colvale_PS,2021,Theft (other  Theft ),04-08-2021,"Suleonichogol, Nadora Bardez Goa",Nadora,2,"(15.6805, 73.8900)",Low,ResidentialArea
669,Colvale_PS,2021,Theft (other  Theft ),20-08-2021,"Bank of Tributary of Chapora River, Chicalim Bardez Goa",Chicalim,4,"(15.3912, 73.8490)",Medium,Beachside
670,Colvale_PS,2021,Theft (other  Theft ),25-08-2021,"Auchitwada, Thivim Bardez Goa",Thivim,5,"(15.6362, 73.8308)",Low,ResidentialArea
671,Colvale_PS,2021,Theft (other  Theft ),07-09-2021,"Near Binani Industry, Colvale Bardez Goa",Colvale,2,"(15.6538, 73.8545)",Medium,IndustrialArea
672,Colvale_PS,2021,Theft (other  Theft ),17-09-2021,"Amyani, Thivim Bardez Goa",Thivim,3,"(15.6352, 73.8320)",Low,ResidentialArea
673,Colvale_PS,2021,Theft (other  Theft ),21-10-2021,"Open Parking Space at Sai Colony, Madel Thivim Bardez Goa",Thivim,4,"(15.6340, 73.8315)",Medium,ParkingLot
674,Colvale_PS,2021,Theft (other  Theft ),04-11-2021,"Larsen and Toubro Site, TSS, Thivim Bardez Goa",Thivim,1,"(15.6355, 73.8303)",Medium,IndustrialArea
675,Colvale_PS,2021,Theft (other  Theft ),12-11-2021,"River Chapora at Ferry Point, Camurlim Bardez Goa",Camurlim,2,"(15.6550, 73.8610)",Medium,Beachside
676,Colvale_PS,2021,Theft (other  Theft ),01-12-2021,"Mushirwado, Colvale Bardez Goa",Colvale,1,"(15.6528, 73.8535)",Medium,ResidentialArea
677,Colvale_PS,2021,Assault (Hurt),04-08-2021,"Madel, Thivim Bardez Goa",Thivim,1,"(15.6335, 73.8322)",Medium,ResidentialArea
678,Colvale_PS,2021,Assault (Hurt),15-08-2021,"Binani, Colvale Bardez Goa",Colvale,4,"(15.6530, 73.8548)",Medium,IndustrialArea
679,Colvale_PS,2021,Assault (Hurt),16-09-2021,"Near Fort Fattirwada, Colvale Bardez Goa",Colvale,3,"(15.6560, 73.8575)",Medium,ParkingLot
680,Colvale_PS,2021,Drug Related (NDPS),27-07-2021,"Melita Restaurant, Ghotnicho Vhal, Colvale",Colvale,5,"(15.6575, 73.8588)",Medium,Restaurant
681,Colvale_PS,2021,Drug Related (NDPS),22-08-2021,"Sai Shraddha Mobile Shop, near Greenland Bar, Madel Thivim Bardez Goa",Thivim,5,"(15.6365, 73.8292)",Medium,Business/Store
682,Colvale_PS,2022,Theft (Robbery),26-09-2022,"Near Thivim Railway Station, Bardez Goa",Thivim,5,"(15.6325, 73.8320)",High,localArea
683,Colvale_PS,2022,Theft (HBT Night),04-08-2022,"Housing Board Colony, Thivim Bardez Goa",Thivim,1,"(15.6330, 73.8310)",Medium,ResidentialArea
684,Colvale_PS,2022,Theft (Auto Theft),25-01-2022,"Auchitwado, Thivim Bardez",Thivim,5,"(15.6368, 73.8305)",Low,ResidentialArea
685,Colvale_PS,2022,Theft (Auto Theft),21-01-2022,"Outside H. No. 30/2, Moitem, Assonora, Bardez Goa",Assonora,4,"(15.6482, 73.8495)",Low,InHouse
686,Colvale_PS,2022,Theft (Auto Theft),04-05-2022,"Parking Near Dhumaskar Hospital, Thivim Bardez Goa",Thivim,2,"(15.6342, 73.8308)",Medium,ParkingLot
687,Colvale_PS,2022,Theft (Auto Theft),14-06-2022,Chicalim Bardez Goa,Chicalim,3,"(15.3908, 73.8482)",Medium,ResidentialArea
688,Colvale_PS,2022,Theft (Auto Theft),30-04-2022,"Near Ganesh Temple, Ganeshnagar, Assonora, Bardez Goa",Assonora,5,"(15.6455, 73.8508)",Medium,ReligiousPlace
689,Colvale_PS,2022,Theft (Auto Theft),28-11-2022,"Hotel Subodh Residency, Near Thivim Railway Station, Thivim Goa",Thivim,5,"(15.6325, 73.8320)",Medium,Restaurant
690,Colvale_PS,2022,Theft (Chain Snatching),14-01-2022,"Sahil Residency, Thivim, Bardez Goa",Thivim,3,"(15.6318, 73.8312)",Medium,Restaurant
691,Colvale_PS,2022,Theft (Chain Snatching),02-11-2022,"Darbarwaddo, Camurlim, Bardez",Camurlim,1,"(15.6540, 73.8625)",Low,ResidentialArea
692,Colvale_PS,2022,Assault (Hurt),06-01-2022,"Block No. 3, Central Jail, Colvale Bardez",Colvale,2,"(15.6505, 73.8550)",High,IndustrialArea
693,Colvale_PS,2022,Assault (Hurt),05-01-2022,"H. No. 45, Moitem Assonora Bardez",Assonora,2,"(15.6480, 73.8492)",Medium,InHouse
694,Colvale_PS,2022,Assault (Hurt),11-01-2022,"Maina Patto, near Teen Madani, Camurlim",Camurlim,3,"(15.6522, 73.8608)",Low,ResidentialArea
695,Colvale_PS,2022,Assault (Hurt),11-01-2022,"Moitemwado, Assonora",Assonora,3,"(15.6472, 73.8500)",Medium,ResidentialArea
696,Colvale_PS,2022,Assault (Hurt),01-03-2022,"H.No. 149/1, Karkecho Val, Revora Bardez",Revora,1,"(15.6830, 73.8865)",Low,InHouse
697,Colvale_PS,2022,Assault (Hurt),30-03-2022,"Borikade, Mainapatto, Camurlim",Camurlim,5,"(15.6515, 73.8615)",Medium,ResidentialArea
698,Colvale_PS,2022,Assault (Hurt),14-04-2022,"Salche Bhat, Revora Bardez Goa",Revora,3,"(15.6840, 73.8875)",Low,LocalArea
699,Colvale_PS,2022,Assault (Hurt),17-05-2022,"Mazil Wado, Revora Bardez Goa",Revora,4,"(15.6855, 73.8888)",Low,LocalArea
700,Colvale_PS,2022,Assault (Hurt),21-05-2022,"Chikli, Colvale Bardez Goa",Colvale,4,"(15.6488, 73.8568)",Medium,ResidentialArea
701,Colvale_PS,2022,Assault (Hurt),15-06-2022,"H.No. 880/3, Cansa, Thivim Bardez",Thivim,3,"(15.6358, 73.8298)",Low,InHouse
702,Colvale_PS,2022,Assault (Hurt),30-06-2022,"Near Vailankanni Chapel, Opposite Modern Central Jail, Colvale Bardez Goa",Colvale,5,"(15.6512, 73.8540)",Medium,ReligiousPlace
703,Colvale_PS,2022,Assault (Hurt),13-08-2022,"Central Jail, Colvale Bardez Goa",Colvale,2,"(15.6505, 73.8550)",High,IndustrialArea
704,Colvale_PS,2022,Assault (Hurt),26-09-2022,"Near Tower of Housing Board, Colvale Bardez Goa",Colvale,5,"(15.6490, 73.8560)",Medium,ResidentialArea
705,Colvale_PS,2022,Assault (Hurt),12-10-2022,"Near St. Anthony Chapel, Colvale Bardez Goa",Colvale,3,"(15.6485, 73.8575)",Medium,ReligiousPlace
706,Colvale_PS,2022,Drug Related (NDPS),02-06-2022,"H.No. 100/3/6, Auchitwada, Thivim Bardez Goa",Thivim,1,"(15.6360, 73.8302)",Low,InHouse
707,Colvale_PS,2022,Drug Related (NDPS),22-06-2022,"H. No. 280/1, Salchebhat, Revora Bardez",Revora,4,"(15.6835, 73.8882)",Low,InHouse
708,Colvale_PS,2022,Drug Related (NDPS),22-09-2022,"Sanjana Furniture, Thorliwaddo, Chandai, Pirna Bardez Goa",Pirna,4,"(15.6900, 73.8930)",Medium,Business/Store
709,Colvale_PS,2022,Drug Related (NDPS),20-10-2022,"H.No. 67/A/1, Housing Board Colony, Colvale Bardez Goa",Colvale,4,"(15.6480, 73.8570)",Medium,InHouse
710,Colvale_PS,2022,Drug Related (NDPS),28-10-2022,"Shri. Kelbai Temple and Adjacent Temples, Pirna Bardez Goa",Pirna,5,"(15.6915, 73.8950)",Medium,ReligiousPlace
711,Colvale_PS,2023,Theft (HBT Night),17-02-2023,"H.No. 123/1, Goa Housing Board, Mushirwada, Colvale Bardez Goa",Colvale,3,"(15.6495, 73.8568)",Medium,InHouse
712,Colvale_PS,2023,Theft (HBT Night),27-09-2023,"Govt. Primary and Middle School, Thivim Bardez",Thivim,5,"(15.6345, 73.8305)",Medium,NearCollege
713,Colvale_PS,2023,Theft (HBT Day),04-01-2023,"Housing Board, Colvale Bardez Goa",Colvale,2,"(15.6482, 73.8562)",Medium,ResidentialArea
714,Colvale_PS,2023,Theft (HBT Day),18-06-2023,"Apollo Pharmacy, Assonora Bardez Goa",Assonora,4,"(15.6458, 73.8502)",Medium,ParkingLot
715,Colvale_PS,2023,Theft (HBT Day),31-07-2023,"Office Section of St. Clara High School, Assonora Bardez Goa",Assonora,5,"(15.6462, 73.8498)",Medium,NearCollege
716,Colvale_PS,2023,Theft (HBT Day),31-07-2023,"Madel Housing Board, Madel Bardez Goa",Thivim,5,"(15.6338, 73.8318)",Medium,LocalArea
717,Colvale_PS,2023,Theft (HBT Day),27-12-2023,"Cansa Board, Thivim Bardez",Thivim,5,"(15.6365, 73.8300)",Low,ResidentialArea
718,Colvale_PS,2023,Theft (House Theft),06-10-2023,"Near Opp. Binani, Near Service Road, Colvale Bardez Goa",Colvale,2,"(15.6530, 73.8550)",Medium,IndustrialArea
719,Colvale_PS,2023,Theft (House Theft),26-10-2023,"In Front Courtyard of H. No. 13/75, Madel, Thivim Bardez Goa",Thivim,5,"(15.6340, 73.8312)",Medium,InHouse
720,Colvale_PS,2023,Theft (House Theft),24-11-2023,"Koniwado, Colvale Bardez",Colvale,4,"(15.6460, 73.8570)",Medium,LocalArea
721,Colvale_PS,2023,Theft (Auto Theft),28-03-2023,"Chicalim, Bardez Goa",Chicalim,5,"(15.3955, 73.8400)",Medium,ResidentialArea
722,Colvale_PS,2023,Theft (Auto Theft),17-04-2023,"Near Junction, Colvale Bardez",Colvale,4,"(15.6475, 73.8565)",Medium,OnRoad
723,Colvale_PS,2023,Theft (Auto Theft),31-05-2023,"H.No. 285/A, Poryacha Wadda, Camurlim Bardez",Camurlim,5,"(15.6500, 73.8600)",Low,InHouse
724,Colvale_PS,2023,Theft (Chain Snatching),27-07-2023,"Fernandes Wado, Assonora Bardez Goa",Assonora,5,"(15.6465, 73.8510)",Medium,LocalArea
725,Colvale_PS,2023,Assault (Hurt),21-03-2023,"Aditya Wines, Revora Bardez Goa",Revora,4,"(15.6825, 73.8850)",Medium,Business/Store
726,Colvale_PS,2023,Assault (Hurt),30-04-2023,"Painiwada, Near Football Ground, Thivim Bardez Goa",Thivim,5,"(15.6320, 73.8310)",Medium,Beachside
727,Colvale_PS,2023,Assault (Hurt),10-05-2023,"Moitem, Assonora Bardez Goa",Assonora,2,"(15.6478, 73.8495)",Medium,LocalArea
728,Colvale_PS,2023,Assault (Hurt),20-05-2023,"Dry Fruit Shop, Near Thivim Railway Station",Thivim,3,"(15.6310, 73.8325)",Medium,Business/Store
729,Colvale_PS,2023,Assault (Hurt),20-05-2023,"Gavoim, Thivim Bardez",Thivim,3,"(15.6350, 73.8290)",Low,LocalArea
730,Colvale_PS,2023,Assault (Hurt),02-06-2023,"Dhanva, Thivim Bardez Goa",Thivim,1,"(15.6335, 73.8305)",Low,LocalArea
731,Colvale_PS,2023,Assault (Hurt),06-08-2023,"Tuwar Wadda, Chicalim Bardez Goa",Chicalim Bardez,2,"(15.3945, 73.8410)",Medium,ResidentialArea
732,Colvale_PS,2023,Assault (Hurt),15-08-2023,"Near Major Bakery, Thivim",Thivim,3,"(15.6342, 73.8315)",Medium,Business/Store
733,Colvale_PS,2023,Assault (Hurt),24-09-2023,"TNK, H. No. 250/7 Bella Vista Wado Sirsaim Thivim Bardez Goa",Thivim,5,"(15.6375, 73.8280)",Medium,InHouse
734,Colvale_PS,2023,Assault (Hurt),26-09-2023,"Roshan Industries, Karaswada Mapusa","Karaswada ,Mapusa",5,"(15.5950, 73.8140)",Medium,IndustrialArea
735,Colvale_PS,2023,Assault (Hurt),26-09-2023,"Near Om Sai Hotel, Service Road, Colvale Bardez Goa",Colvale,5,"(15.6480, 73.8560)",Medium,Restaurant
736,Colvale_PS,2023,Assault (Hurt),02-11-2023,"H.No. 307/9, Mushirwado, Colvale Bardez Goa",Colvale,1,"(15.6495, 73.8578)",Medium,InHouse
737,Colvale_PS,2023,Assault (Hurt),30-12-2023,Colvale Four Road Junction,Colvale,5,"(15.6500, 73.8575)",High,OnRoad
738,Colvale_PS,2023,Drug Related (NDPS),12-02-2023,"Plot No. 16, Industrial Estate, Colvale Bardez Goa",Colvale,3,"(15.6510, 73.8555)",Medium,IndustrialArea
739,Colvale_PS,2023,Drug Related (NDPS),16-05-2023,"Near Ferry Point, Camurlim Bardez Goa",Camurlim,3,"(15.6525, 73.8620)",Medium,Beachside
740,Colvale_PS,2023,Drug Related (NDPS),22-08-2023,"Suleonichogol, Nadora Bardez Goa",Nadora,4,"(15.6780, 73.8740)",Low,ResidentialArea
741,Colvale_PS,2023,Drug Related (NDPS),20-10-2023,"Bank of Tributary of Chapora River, Chicalim Bardez Goa",Chicalim,4,"(15.3930, 73.8425)",Medium,ParkingLot
742,Colvale_PS,2024,Theft (Robbery),29-04-2024,"Auchitwada, Thivim Bardez Goa",Thivim,5,"(15.6355, 73.8300)",Low,LocalArea
743,Colvale_PS,2024,Theft (HBT Night),03-01-2024,"Near Binani Industry, Colvale Bardez Goa",Colvale,1,"(15.6528, 73.8552)",Medium,IndustrialArea
744,Colvale_PS,2024,Theft (HBT Night),10-02-2024,"Amyani, Thivim Bardez Goa",Thivim,2,"(15.6360, 73.8295)",Low,LocalArea
745,Colvale_PS,2024,Theft (HBT Night),20-02-2024,"Open Parking Space at Sai Colony, Madel Thivim Bardez Goa",Thivim,4,"(15.6340, 73.8312)",Medium,ParkingLot
746,Colvale_PS,2024,Theft (HBT Night),15-05-2024,"Larsen and Toubro Site, TSS, Thivim Bardez Goa",Thivim,3,"(15.6328, 73.8308)",Medium,IndustrialArea
747,Colvale_PS,2024,Theft (HBT Day),27-04-2024,"River Chapora at Ferry Point, Camurlim Bardez Goa",Camurlim,4,"(15.6550, 73.8640)",Medium,ParkingLot
748,Colvale_PS,2024,Theft (House Theft),09-08-2024,"Mushirwado, Colvale Bardez Goa",Colvale,2,"(15.6498, 73.8585)",Medium,LocalArea
749,Colvale_PS,2024,Theft (Auto Theft),17-04-2024,"Madel, Thivim Bardez Goa",Thivim,3,"(15.6350, 73.8315)",Low,ResidentialArea
750,Colvale_PS,2024,Theft (Auto Theft),21-05-2024,"Binani, Colvale Bardez Goa",Colvale,4,"(15.6535, 73.8548)",Medium,IndustrialArea
751,Colvale_PS,2024,Theft (Auto Theft),26-05-2024,"Near Fort Fattirwada, Colvale Bardez Goa",Colvale,5,"(15.6478, 73.8569)",Medium,ParkingLot
752,Colvale_PS,2024,Theft (Chain Snatching),03-08-2024,"Melita Restaurant, Ghotnicho Vhal, Colvale",Colvale,1,"(15.6482, 73.8573)",Medium,Restaurant
753,Colvale_PS,2024,Assault (Hurt),02-02-2024,"Sai Shraddha Mobile Shop, near Greenland Bar, Madel Thivim Bardez Goa",Thivim,1,"(15.6315, 73.8321)",Medium,Business/Store
754,Colvale_PS,2024,Assault (Hurt),02-02-2024,"Near Thivim Railway Station, Bardez Goa",Thivim,1,"(15.6305, 73.8332)",High,localArea
755,Colvale_PS,2024,Assault (Hurt),12-03-2024,"Housing Board Colony, Thivim Bardez Goa",Thivim,3,"(15.6320, 73.8340)",Medium,ResidentialArea
756,Colvale_PS,2024,Assault (Hurt),14-03-2024,"Auchitwado, Thivim Bardez",Thivim,3,"(15.6345, 73.8297)",Low,LocalArea
757,Colvale_PS,2024,Assault (Hurt),25-03-2024,"Outside H. No. 30/2, Moitem, Assonora, Bardez Goa",Assonora,5,"(15.6451, 73.8502)",Medium,LocalArea
758,Colvale_PS,2024,Assault (Hurt),26-03-2024,"Parking Near Dhumaskar Hospital, Thivim Bardez Goa",Thivim,5,"(15.6310, 73.8328)",High,ParkingLot
759,Colvale_PS,2024,Assault (Hurt),07-05-2024,Chicalim Bardez Goa,Chicalim,2,"(15.3955, 73.8400)",Medium,ResidentialArea
760,Colvale_PS,2024,Assault (Hurt),14-05-2024,"Near Ganesh Temple, Ganeshnagar, Assonora, Bardez Goa",Assonora,3,"(15.6467, 73.8525)",Medium,ReligiousPlace
761,Colvale_PS,2024,Assault (Hurt),24-06-2024,"Hotel Subodh Residency, Near Thivim Railway Station, Thivim Goa",Thivim,5,"(15.6308, 73.8330)",Medium,Restaurant
762,Colvale_PS,2024,Assault (Hurt),15-08-2024,"Sahil Residency, Thivim, Bardez Goa",Thivim,3,"(15.6322, 73.8315)",Medium,Restaurant
763,Colvale_PS,2024,Assault (Hurt),02-09-2024,"Darbarwaddo, Camurlim, Bardez",Camurlim,2,"(15.6480, 73.8615)",Low,LocalArea
764,Colvale_PS,2024,Assault (Hurt),26-10-2024,"Block No. 3, Central Jail, Colvale Bardez",Colvale,4,"(15.6490, 73.8582)",High,IndustrialArea
765,Colvale_PS,2024,Assault (Hurt),26-10-2024,"H. No. 45, Moitem Assonora Bardez",Assonora,4,"(15.6473, 73.8498)",Medium,InHouse
766,Colvale_PS,2024,Assault (Hurt),03-11-2024,"Maina Patto, near Teen Madani, Camurlim",Camurlim,2,"(15.6457, 73.8621)",Low,LocalArea
767,Colvale_PS,2024,Assault (Hurt),26-10-2024,"Moitemwado, Assonora",Assonora,4,"(15.6485, 73.8507)",Medium,LocalArea
768,Colvale_PS,2024,Drug Related (NDPS),04-06-2024,"H.No. 149/1, Karkecho Val, Revora Bardez",Revora,2,"(15.6803, 73.8885)",Medium,InHouse
769,Colvale_PS,2024,Drug Related (NDPS),07-08-2024,"Borikade, Mainapatto, Camurlim",Camurlim,2,"(15.6475, 73.8602)",Low,ResidentialArea
770,Colvale_PS,2024,Drug Related (NDPS),11-10-2024,"Salche Bhat, Revora Bardez Goa",Revora,2,"(15.6820, 73.8868)",Medium,ResidentialArea
